Title,Source,Date,Search Term
Their Field of Dreams: A Vacation With the Candidates,Washington Post,31-Aug, Joseph Robinette Biden Jr
"Labor Day Weekend Reader Mailbag on Weld, Biden, Bullock, Michelle Obama And M",Washington Post,1-Sep," Bernard Sanders ""Bernie""           "
"Labor Day Weekend Reader Mailbag on Weld, Biden, Bullock, Michelle Obama And M",Washington Post,1-Sep, Elizabeth A Warren
Do You Really Believe This Is the Most Important Election of Our Lives? Because W,Washington Post,1-Sep, Joseph Robinette Biden Jr
"Labor Day Weekend Reader Mailbag on Weld, Biden, Bullock, Michelle Obama And M",Washington Post,1-Sep, Joseph Robinette Biden Jr
"$1,000 a Month, No Strings Attached",Washington Post,1-Sep,Kamala D Harris
Presidential Hopefuls Face a Stubborn Problem: How to Bump Biden,Washington Post,2-Sep," Bernard Sanders ""Bernie""           "
Lawmakers Make New Push to End Saudi Bombing Campaign in Yemen,Washington Post,2-Sep," Bernard Sanders ""Bernie""           "
"On Labor Day, Presidential Candidates Turn the Conversation to Guns",Washington Post,2-Sep," Bernard Sanders ""Bernie""           "
Opinion: It’s Still Biden’s Race to Lose,Washington Post,2-Sep," Bernard Sanders ""Bernie""           "
Opinion: Caucuses Are Outdated And Irrational. Replace Them With Primaries.,Washington Post,2-Sep," Bernard Sanders ""Bernie""           "
"Opinion: Joe Biden, the Anemic Front-runner",Washington Post,2-Sep," Bernard Sanders ""Bernie""           "
Opinion: Biden’s Rivals Won’t Oust Him in the Debates,Washington Post,2-Sep," Bernard Sanders ""Bernie""           "
Opinion: Biden’s Rivals Won’t Defeat Him in the Debates,Washington Post,2-Sep," Bernard Sanders ""Bernie""           "
Presidential Hopefuls Face a Stubborn Problem: How to Bump Biden,Washington Post,2-Sep, Elizabeth A Warren
Lawmakers Make New Push to End Saudi Bombing Campaign in Yemen,Washington Post,2-Sep, Elizabeth A Warren
"On Labor Day, Presidential Candidates Turn the Conversation to Guns",Washington Post,2-Sep, Elizabeth A Warren
Opinion: It’s Still Biden’s Race to Lose,Washington Post,2-Sep, Elizabeth A Warren
Opinion: It’s Time to Bid Farewell to Joe Biden,Washington Post,2-Sep, Elizabeth A Warren
"Opinion: Joe Biden, the Anemic Front-runner",Washington Post,2-Sep, Elizabeth A Warren
Opinion: Biden’s Rivals Won’t Oust Him in the Debates,Washington Post,2-Sep, Elizabeth A Warren
Opinion: Biden’s Rivals Won’t Defeat Him in the Debates,Washington Post,2-Sep, Elizabeth A Warren
A Labor Day Tribute to Unpaid Labor,Washington Post,2-Sep, Elizabeth A Warren
Presidential Hopefuls Face a Stubborn Problem: How to Bump Biden,Washington Post,2-Sep, Joseph Robinette Biden Jr
"On Labor Day, Presidential Candidates Turn the Conversation to Guns",Washington Post,2-Sep, Joseph Robinette Biden Jr
Opinion: It’s Still Biden’s Race to Lose,Washington Post,2-Sep, Joseph Robinette Biden Jr
Opinion: It’s Time to Bid Farewell to Joe Biden,Washington Post,2-Sep, Joseph Robinette Biden Jr
"Opinion: Joe Biden, the Anemic Front-runner",Washington Post,2-Sep, Joseph Robinette Biden Jr
Opinion: Biden’s Rivals Won’t Oust Him in the Debates,Washington Post,2-Sep, Joseph Robinette Biden Jr
Opinion: Biden’s Rivals Won’t Defeat Him in the Debates,Washington Post,2-Sep, Joseph Robinette Biden Jr
Opinion: Ups And Downs: Trump’s Rants Never End,Washington Post,2-Sep, Joseph Robinette Biden Jr
Opinion: How to Split the NRA in Two,Washington Post,2-Sep, Joseph Robinette Biden Jr
The New Economics of Labor Day,Washington Post,2-Sep, Joseph Robinette Biden Jr
Presidential Hopefuls Face a Stubborn Problem: How to Bump Biden,Washington Post,2-Sep,Pete Buttigieg
Opinion: It’s Still Biden’s Race to Lose,Washington Post,2-Sep,Pete Buttigieg
Presidential Hopefuls Face a Stubborn Problem: How to Bump Biden,Washington Post,2-Sep,Kamala D Harris
"On Labor Day, Presidential Candidates Turn the Conversation to Guns",Washington Post,2-Sep,Kamala D Harris
Opinion: It’s Still Biden’s Race to Lose,Washington Post,2-Sep,Kamala D Harris
Opinion: Biden’s Rivals Won’t Oust Him in the Debates,Washington Post,2-Sep,Kamala D Harris
Opinion: Biden’s Rivals Won’t Defeat Him in the Debates,Washington Post,2-Sep,Kamala D Harris
Lawmakers Make New Push to End Saudi Bombing Campaign in Yemen,Washington Post,3-Sep," Bernard Sanders ""Bernie""           "
Opinion: Tucker Carlson: Washington Post ‘noticed’ the Story That It Broke on Joe,Washington Post,3-Sep," Bernard Sanders ""Bernie""           "
"Biden Advisers Play Down Expectations, Insist the Primary Campaign Could Becom",Washington Post,3-Sep," Bernard Sanders ""Bernie""           "
The Health 202: Indiana Is Trying a Gentler Approach to Medicaid Work Requireme,Washington Post,3-Sep," Bernard Sanders ""Bernie""           "
The Cybersecurity 202: DNC Move Against Phone-in Caucuses Pits Cybersecurity V,Washington Post,3-Sep," Bernard Sanders ""Bernie""           "
Power Up: Democrats Are Not Only Itching to Break Up Big Tech. Big Ag Is Also a,Washington Post,3-Sep," Bernard Sanders ""Bernie""           "
‘The Status Quo Is Unacceptable’: Walmart Will Stop Selling Some Ammunition And,Washington Post,3-Sep, Elizabeth A Warren
Mississippi Has a Surprisingly Competitive Gubernatorial Race,Washington Post,3-Sep, Elizabeth A Warren
Lawmakers Make New Push to End Saudi Bombing Campaign in Yemen,Washington Post,3-Sep, Elizabeth A Warren
"After Latest Shooting, Trump Pushes Facebook Ads ‘straight From the NRA Playboo",Washington Post,3-Sep, Elizabeth A Warren
Opinion: Tucker Carlson: Washington Post ‘noticed’ the Story That It Broke on Joe,Washington Post,3-Sep, Elizabeth A Warren
"Biden Advisers Play Down Expectations, Insist the Primary Campaign Could Becom",Washington Post,3-Sep, Elizabeth A Warren
McConnell Remains Noncommittal on Gun Control After Texas Mass Shooting,Washington Post,3-Sep, Elizabeth A Warren
"The Daily 202: Four Questions for the Fall, Starting With Joe Biden’s Durability",Washington Post,3-Sep, Elizabeth A Warren
The Cybersecurity 202: DNC Move Against Phone-in Caucuses Pits Cybersecurity V,Washington Post,3-Sep, Elizabeth A Warren
Power Up: Democrats Are Not Only Itching to Break Up Big Tech. Big Ag Is Also a,Washington Post,3-Sep, Elizabeth A Warren
Trump Encouraged Pence to Stay At His Golf Resort in Ireland,Washington Post,3-Sep, Joseph Robinette Biden Jr
Opinion: Happy Hour Roundup,Washington Post,3-Sep, Joseph Robinette Biden Jr
Mississippi Has a Surprisingly Competitive Gubernatorial Race,Washington Post,3-Sep, Joseph Robinette Biden Jr
Opinion: Tucker Carlson: Washington Post ‘noticed’ the Story That It Broke on Joe,Washington Post,3-Sep, Joseph Robinette Biden Jr
"Biden Advisers Play Down Expectations, Insist the Primary Campaign Could Becom",Washington Post,3-Sep, Joseph Robinette Biden Jr
Opinion: Democrats Want to Beat Trump. Biden Wants to Be the One to Do It.,Washington Post,3-Sep, Joseph Robinette Biden Jr
Opinion: There’s a Reason Biden Is Leading,Washington Post,3-Sep, Joseph Robinette Biden Jr
Joe Biden Says ‘details Are Irrelevant.’ Can Democrats Get Away With That in the,Washington Post,3-Sep, Joseph Robinette Biden Jr
Joe Biden And How Much Truthfulness Should Matter to Democrats in the Era of Tr,Washington Post,3-Sep, Joseph Robinette Biden Jr
"The Daily 202: Four Questions for the Fall, Starting With Joe Biden’s Durability",Washington Post,3-Sep, Joseph Robinette Biden Jr
Opinion: Morning Bits: Trump-created Havoc Never Abates,Washington Post,3-Sep, Joseph Robinette Biden Jr
Biden: Inaccurate Details in War Story ‘irrelevant’ to Policy Decisions,Washington Post,3-Sep, Joseph Robinette Biden Jr
The Cybersecurity 202: DNC Move Against Phone-in Caucuses Pits Cybersecurity V,Washington Post,3-Sep, Joseph Robinette Biden Jr
Power Up: Democrats Are Not Only Itching to Break Up Big Tech. Big Ag Is Also a,Washington Post,3-Sep, Joseph Robinette Biden Jr
Mississippi Has a Surprisingly Competitive Gubernatorial Race,Washington Post,3-Sep,Pete Buttigieg
A Trump Spokesman Wants You to Know Mike Pence Was Willing to Dine With a Gay,Washington Post,3-Sep,Pete Buttigieg
"Pence Isn’t ‘anti-gay’ Because He Lunched With Irish Prime Minister, Who Is Gay,",Washington Post,3-Sep,Pete Buttigieg
The Cybersecurity 202: DNC Move Against Phone-in Caucuses Pits Cybersecurity V,Washington Post,3-Sep,Pete Buttigieg
Power Up: Democrats Are Not Only Itching to Break Up Big Tech. Big Ag Is Also a,Washington Post,3-Sep,Pete Buttigieg
Mississippi Has a Surprisingly Competitive Gubernatorial Race,Washington Post,3-Sep,Kamala D Harris
Opinion: Democrats’ Five-count Political Indictment of Trump,Washington Post,3-Sep,Kamala D Harris
The Cybersecurity 202: DNC Move Against Phone-in Caucuses Pits Cybersecurity V,Washington Post,3-Sep,Kamala D Harris
Kamala Harris Says She’d Eliminate Filibuster to Pass Green New Deal,Washington Post,4-Sep," Bernard Sanders ""Bernie""           "
Where the Leading 2020 Democrats Stand on Climate Change Policy,Washington Post,4-Sep," Bernard Sanders ""Bernie""           "
Opinion: What Bernie Sanders And Elizabeth Warren Have in Common,Washington Post,4-Sep," Bernard Sanders ""Bernie""           "
Your 2020 Democratic Primary Climate Change Cheat Sheet,Washington Post,4-Sep," Bernard Sanders ""Bernie""           "
"Opinion: In Trump Country (Wisconsin), Trade And Immigration Are Getting More P",Washington Post,4-Sep," Bernard Sanders ""Bernie""           "
The Energy 202: 2020 Democrats Release Climate Plans That Could Be Seen as Le,Washington Post,4-Sep," Bernard Sanders ""Bernie""           "
Opinion: The Democrats’ Battle of the Plans,Washington Post,4-Sep," Bernard Sanders ""Bernie""           "
"Kamala Harris, Other 2020 Candidates Offer Climate Change Plans Before CNN Eve",Washington Post,4-Sep," Bernard Sanders ""Bernie""           "
"With Hurricane Dorian Looming, Democratic Candidates Discuss Their Climate Plan",Washington Post,4-Sep," Bernard Sanders ""Bernie""           "
Kamala Harris Says She’d Eliminate Filibuster to Pass Green New Deal,Washington Post,4-Sep, Elizabeth A Warren
Where the Leading 2020 Democrats Stand on Climate Change Policy,Washington Post,4-Sep, Elizabeth A Warren
Opinion: What Bernie Sanders And Elizabeth Warren Have in Common,Washington Post,4-Sep, Elizabeth A Warren
"Opinion: In Trump Country (Wisconsin), Trade And Immigration Are Getting More P",Washington Post,4-Sep, Elizabeth A Warren
"Opinion: If a Democrat Wins, We’re Getting Major Climate Legislation in 2021",Washington Post,4-Sep, Elizabeth A Warren
The Energy 202: 2020 Democrats Release Climate Plans That Could Be Seen as Le,Washington Post,4-Sep, Elizabeth A Warren
Opinion: The Democrats’ Battle of the Plans,Washington Post,4-Sep, Elizabeth A Warren
"Kamala Harris, Other 2020 Candidates Offer Climate Change Plans Before CNN Eve",Washington Post,4-Sep, Elizabeth A Warren
"With Hurricane Dorian Looming, Democratic Candidates Discuss Their Climate Plan",Washington Post,4-Sep, Elizabeth A Warren
Kamala Harris Says She’d Eliminate Filibuster to Pass Green New Deal,Washington Post,4-Sep, Joseph Robinette Biden Jr
Where the Leading 2020 Democrats Stand on Climate Change Policy,Washington Post,4-Sep, Joseph Robinette Biden Jr
Opinion: What Bernie Sanders And Elizabeth Warren Have in Common,Washington Post,4-Sep, Joseph Robinette Biden Jr
Your 2020 Democratic Primary Climate Change Cheat Sheet,Washington Post,4-Sep, Joseph Robinette Biden Jr
"Opinion: In Trump Country (Wisconsin), Trade And Immigration Are Getting More P",Washington Post,4-Sep, Joseph Robinette Biden Jr
Opinion: Mattis Risks Normalizing Trump,Washington Post,4-Sep, Joseph Robinette Biden Jr
Opinion: The Democrats’ Battle of the Plans,Washington Post,4-Sep, Joseph Robinette Biden Jr
Opinion: Trump Digs His Own Political Grave,Washington Post,4-Sep, Joseph Robinette Biden Jr
The Daily 202: Jim Mattis’s Reading List Offers a Jarring Contrast to Trump’s Lac,Washington Post,4-Sep, Joseph Robinette Biden Jr
"Opinion: To Fix Our Gun Crisis, We Should Revert to ’60s Gun Laws",Washington Post,4-Sep, Joseph Robinette Biden Jr
"Kamala Harris, Other 2020 Candidates Offer Climate Change Plans Before CNN Eve",Washington Post,4-Sep, Joseph Robinette Biden Jr
"With Hurricane Dorian Looming, Democratic Candidates Discuss Their Climate Plan",Washington Post,4-Sep, Joseph Robinette Biden Jr
Tonight’s TV: ‘Animal Babies: First Year on Earth’ Begins on PBS,Washington Post,4-Sep, Joseph Robinette Biden Jr
Kamala Harris Says She’d Eliminate Filibuster to Pass Green New Deal,Washington Post,4-Sep,Pete Buttigieg
Where the Leading 2020 Democrats Stand on Climate Change Policy,Washington Post,4-Sep,Pete Buttigieg
Opinion: The Democrats’ Battle of the Plans,Washington Post,4-Sep,Pete Buttigieg
"Kamala Harris, Other 2020 Candidates Offer Climate Change Plans Before CNN Eve",Washington Post,4-Sep,Pete Buttigieg
"With Hurricane Dorian Looming, Democratic Candidates Discuss Their Climate Plan",Washington Post,4-Sep,Pete Buttigieg
Kamala Harris Says She’d Eliminate Filibuster to Pass Green New Deal,Washington Post,4-Sep,Kamala D Harris
Opinion: What Bernie Sanders And Elizabeth Warren Have in Common,Washington Post,4-Sep,Kamala D Harris
Your 2020 Democratic Primary Climate Change Cheat Sheet,Washington Post,4-Sep,Kamala D Harris
"Opinion: In Trump Country (Wisconsin), Trade And Immigration Are Getting More P",Washington Post,4-Sep,Kamala D Harris
"Opinion: If a Democrat Wins, We’re Getting Major Climate Legislation in 2021",Washington Post,4-Sep,Kamala D Harris
The Energy 202: 2020 Democrats Release Climate Plans That Could Be Seen as Le,Washington Post,4-Sep,Kamala D Harris
Opinion: The Democrats’ Battle of the Plans,Washington Post,4-Sep,Kamala D Harris
"Kamala Harris, Other 2020 Candidates Offer Climate Change Plans Before CNN Eve",Washington Post,4-Sep,Kamala D Harris
"With Hurricane Dorian Looming, Democratic Candidates Discuss Their Climate Plan",Washington Post,4-Sep,Kamala D Harris
Opinion: Happy Hour Roundup,Washington Post,5-Sep," Bernard Sanders ""Bernie""           "
What Seven Hours of Climate Talk Revealed,Washington Post,5-Sep," Bernard Sanders ""Bernie""           "
"Opinion: Sun Belt Or Rust Belt? Democrats, Go for Both!",Washington Post,5-Sep," Bernard Sanders ""Bernie""           "
We Watched All 7 Hours of CNN’s Climate Town Hall So You Didn’t Have to,Washington Post,5-Sep," Bernard Sanders ""Bernie""           "
Opinion: A Real Gaffe From Bernie Sanders,Washington Post,5-Sep," Bernard Sanders ""Bernie""           "
"With Hurricane Dorian Looming, Democratic Candidates Discuss Their Climate Plan",Washington Post,5-Sep," Bernard Sanders ""Bernie""           "
"On Bernie Sanders, Abortion And ‘population Control’",Washington Post,5-Sep," Bernard Sanders ""Bernie""           "
Opinion: Biden Bumbles While Sanders And Warren Score in CNN’s Climate Town H,Washington Post,5-Sep," Bernard Sanders ""Bernie""           "
Opinion: ‘I Had a Dream That There Was a Shooter And I Wouldn’t Be Able to Run ,Washington Post,5-Sep," Bernard Sanders ""Bernie""           "
Opinion: What Do the Democratic Candidates’ Typical Voters Look Like?,Washington Post,5-Sep," Bernard Sanders ""Bernie""           "
Was Trump Right When He Tweeted About Climate Change?,Washington Post,5-Sep," Bernard Sanders ""Bernie""           "
Date Lab:?He Knew How He Felt Almost Immediately,Washington Post,5-Sep," Bernard Sanders ""Bernie""           "
The Energy 202: Jay Inslee Is Out of the 2020 Race. But His Presence Remains.,Washington Post,5-Sep," Bernard Sanders ""Bernie""           "
"Biden Leads Trump By 9 Percentage Points in Key Battleground of Wisconsin, Poll",Washington Post,5-Sep," Bernard Sanders ""Bernie""           "
Thursday’s Best TV: ‘Activate’ Premieres on National Geographic,Washington Post,5-Sep," Bernard Sanders ""Bernie""           "
Opinion: Happy Hour Roundup,Washington Post,5-Sep, Elizabeth A Warren
What Seven Hours of Climate Talk Revealed,Washington Post,5-Sep, Elizabeth A Warren
How Apple Uses Its App Store to Copy the Best Ideas,Washington Post,5-Sep, Elizabeth A Warren
"Opinion: Sun Belt Or Rust Belt? Democrats, Go for Both!",Washington Post,5-Sep, Elizabeth A Warren
We Watched All 7 Hours of CNN’s Climate Town Hall So You Didn’t Have to,Washington Post,5-Sep, Elizabeth A Warren
Opinion: A Real Gaffe From Bernie Sanders,Washington Post,5-Sep, Elizabeth A Warren
"With Hurricane Dorian Looming, Democratic Candidates Discuss Their Climate Plan",Washington Post,5-Sep, Elizabeth A Warren
This Week Was a Reminder That the Climate Fight Is Largely a Cultural One,Washington Post,5-Sep, Elizabeth A Warren
Opinion: Biden Bumbles While Sanders And Warren Score in CNN’s Climate Town H,Washington Post,5-Sep, Elizabeth A Warren
Opinion: ‘I Had a Dream That There Was a Shooter And I Wouldn’t Be Able to Run ,Washington Post,5-Sep, Elizabeth A Warren
Be Very Skeptical When a 2020 Democrat Says They’ll Get Stuff Done By Getting R,Washington Post,5-Sep, Elizabeth A Warren
Opinion: What Do the Democratic Candidates’ Typical Voters Look Like?,Washington Post,5-Sep, Elizabeth A Warren
CNN’s Epic Town Hall on Climate Was a Perfect Time Capsule for An Unprecedente,Washington Post,5-Sep, Elizabeth A Warren
Date Lab:?He Knew How He Felt Almost Immediately,Washington Post,5-Sep, Elizabeth A Warren
The Energy 202: Jay Inslee Is Out of the 2020 Race. But His Presence Remains.,Washington Post,5-Sep, Elizabeth A Warren
"Biden Leads Trump By 9 Percentage Points in Key Battleground of Wisconsin, Poll",Washington Post,5-Sep, Elizabeth A Warren
Opinion: Is Trump Strong-arming Ukraine’s New President for Political Gain?,Washington Post,5-Sep, Joseph Robinette Biden Jr
Opinion: Happy Hour Roundup,Washington Post,5-Sep, Joseph Robinette Biden Jr
What Seven Hours of Climate Talk Revealed,Washington Post,5-Sep, Joseph Robinette Biden Jr
"Opinion: Sun Belt Or Rust Belt? Democrats, Go for Both!",Washington Post,5-Sep, Joseph Robinette Biden Jr
We Watched All 7 Hours of CNN’s Climate Town Hall So You Didn’t Have to,Washington Post,5-Sep, Joseph Robinette Biden Jr
Opinion: A Real Gaffe From Bernie Sanders,Washington Post,5-Sep, Joseph Robinette Biden Jr
"With Hurricane Dorian Looming, Democratic Candidates Discuss Their Climate Plan",Washington Post,5-Sep, Joseph Robinette Biden Jr
Opinion: Biden Bumbles While Sanders And Warren Score in CNN’s Climate Town H,Washington Post,5-Sep, Joseph Robinette Biden Jr
Opinion: ‘I Had a Dream That There Was a Shooter And I Wouldn’t Be Able to Run ,Washington Post,5-Sep, Joseph Robinette Biden Jr
Opinion: What Do the Democratic Candidates’ Typical Voters Look Like?,Washington Post,5-Sep, Joseph Robinette Biden Jr
CNN’s Epic Town Hall on Climate Was a Perfect Time Capsule for An Unprecedente,Washington Post,5-Sep, Joseph Robinette Biden Jr
Date Lab:?He Knew How He Felt Almost Immediately,Washington Post,5-Sep, Joseph Robinette Biden Jr
The Energy 202: Jay Inslee Is Out of the 2020 Race. But His Presence Remains.,Washington Post,5-Sep, Joseph Robinette Biden Jr
"Biden Leads Trump By 9 Percentage Points in Key Battleground of Wisconsin, Poll",Washington Post,5-Sep, Joseph Robinette Biden Jr
The Health 202: Government Watchdog Details How Trump’s Family Separations Tr,Washington Post,5-Sep, Joseph Robinette Biden Jr
"The Finance 202: Fed Officials Disagree on Interest Rate Cuts, Despite Investor Ce",Washington Post,5-Sep, Joseph Robinette Biden Jr
Biden’s Claim That More Iraq/Afghanistan Veterans Have Committed Suicide Than,Washington Post,5-Sep, Joseph Robinette Biden Jr
Power Up: Republican Retirements Signal Pessimism About Prospects of Retaking,Washington Post,5-Sep, Joseph Robinette Biden Jr
‘What I Said Was Accurate!’: Trump Stays Fixated on His Alabama Error as Hurrica,Washington Post,5-Sep,Pete Buttigieg
What Seven Hours of Climate Talk Revealed,Washington Post,5-Sep,Pete Buttigieg
We Watched All 7 Hours of CNN’s Climate Town Hall So You Didn’t Have to,Washington Post,5-Sep,Pete Buttigieg
"With Hurricane Dorian Looming, Democratic Candidates Discuss Their Climate Plan",Washington Post,5-Sep,Pete Buttigieg
Calling All Barbecue Hounds: How Much Would You Pay for An Aaron Franklin Back,Washington Post,5-Sep,Pete Buttigieg
Opinion: ‘I Had a Dream That There Was a Shooter And I Wouldn’t Be Able to Run ,Washington Post,5-Sep,Pete Buttigieg
Opinion: What Do the Democratic Candidates’ Typical Voters Look Like?,Washington Post,5-Sep,Pete Buttigieg
CNN’s Epic Town Hall on Climate Was a Perfect Time Capsule for An Unprecedente,Washington Post,5-Sep,Pete Buttigieg
The Energy 202: Jay Inslee Is Out of the 2020 Race. But His Presence Remains.,Washington Post,5-Sep,Pete Buttigieg
"Biden Leads Trump By 9 Percentage Points in Key Battleground of Wisconsin, Poll",Washington Post,5-Sep,Pete Buttigieg
Conservative Activist Jacob Wohl Charged With Felony in California,Washington Post,5-Sep,Pete Buttigieg
Opinion: Happy Hour Roundup,Washington Post,5-Sep,Kamala D Harris
What Seven Hours of Climate Talk Revealed,Washington Post,5-Sep,Kamala D Harris
We Watched All 7 Hours of CNN’s Climate Town Hall So You Didn’t Have to,Washington Post,5-Sep,Kamala D Harris
"With Hurricane Dorian Looming, Democratic Candidates Discuss Their Climate Plan",Washington Post,5-Sep,Kamala D Harris
Opinion: ‘I Had a Dream That There Was a Shooter And I Wouldn’t Be Able to Run ,Washington Post,5-Sep,Kamala D Harris
Be Very Skeptical When a 2020 Democrat Says They’ll Get Stuff Done By Getting R,Washington Post,5-Sep,Kamala D Harris
Opinion: What Do the Democratic Candidates’ Typical Voters Look Like?,Washington Post,5-Sep,Kamala D Harris
CNN’s Epic Town Hall on Climate Was a Perfect Time Capsule for An Unprecedente,Washington Post,5-Sep,Kamala D Harris
Date Lab:?He Knew How He Felt Almost Immediately,Washington Post,5-Sep,Kamala D Harris
The Energy 202: Jay Inslee Is Out of the 2020 Race. But His Presence Remains.,Washington Post,5-Sep,Kamala D Harris
The Daily 202: The Biggest Losers From Trump’s Diversion of Military Funds for H,Washington Post,5-Sep,Kamala D Harris
"Biden Leads Trump By 9 Percentage Points in Key Battleground of Wisconsin, Poll",Washington Post,5-Sep,Kamala D Harris
Power Up: Republican Retirements Signal Pessimism About Prospects of Retaking,Washington Post,5-Sep,Kamala D Harris
Opinion: The DNC Had a Smart Plan for Shrinking the Democratic Field. What Happ,Washington Post,6-Sep," Bernard Sanders ""Bernie""           "
Opinion: Don’t Trust Candidates Who Ignore Nuclear Power,Washington Post,6-Sep," Bernard Sanders ""Bernie""           "
"Opinion: Welcome to the Third Tier, Kamala Harris",Washington Post,6-Sep," Bernard Sanders ""Bernie""           "
"Buttigieg’s First Television Ad Calls for ‘real Solutions,’ Not Polarization",Washington Post,6-Sep," Bernard Sanders ""Bernie""           "
The Energy 202: Joe Biden Defends Fundraiser That Drew Howls From Environmen,Washington Post,6-Sep," Bernard Sanders ""Bernie""           "
The Health 202: More Than Half of House Democrats Now Support Medicare-for-al,Washington Post,6-Sep," Bernard Sanders ""Bernie""           "
Opinion: How to Redesign the Debates for Our Current Political Climate,Washington Post,6-Sep, Elizabeth A Warren
Opinion: The DNC Had a Smart Plan for Shrinking the Democratic Field. What Happ,Washington Post,6-Sep, Elizabeth A Warren
Opinion: Happy Hour Roundup,Washington Post,6-Sep, Elizabeth A Warren
Opinion: Don’t Trust Candidates Who Ignore Nuclear Power,Washington Post,6-Sep, Elizabeth A Warren
"Opinion: Welcome to the Third Tier, Kamala Harris",Washington Post,6-Sep, Elizabeth A Warren
"Buttigieg’s First Television Ad Calls for ‘real Solutions,’ Not Polarization",Washington Post,6-Sep, Elizabeth A Warren
The Health 202: More Than Half of House Democrats Now Support Medicare-for-al,Washington Post,6-Sep, Elizabeth A Warren
Photos of An NFL-funded Group Cutting Men’s Dreadlocks Went Viral. Twitter Respo,Washington Post,6-Sep, Joseph Robinette Biden Jr
Opinion: The DNC Had a Smart Plan for Shrinking the Democratic Field. What Happ,Washington Post,6-Sep, Joseph Robinette Biden Jr
Former Starbucks Chief Executive Howard Schultz Announces He Will Not Run for P,Washington Post,6-Sep, Joseph Robinette Biden Jr
Opinion: What Howard Schultz Never Understood About America,Washington Post,6-Sep, Joseph Robinette Biden Jr
Opinion: Bloomberg Law Tried to Suppress Its Erroneous Labor Dept. Story,Washington Post,6-Sep, Joseph Robinette Biden Jr
Opinion: Don’t Trust Candidates Who Ignore Nuclear Power,Washington Post,6-Sep, Joseph Robinette Biden Jr
"Opinion: Welcome to the Third Tier, Kamala Harris",Washington Post,6-Sep, Joseph Robinette Biden Jr
Opinion: Trump Tries to Force Ukraine to Meddle in the 2020 Election,Washington Post,6-Sep, Joseph Robinette Biden Jr
The Daily 202: Trump Is the Sharpie President,Washington Post,6-Sep, Joseph Robinette Biden Jr
The Energy 202: Joe Biden Defends Fundraiser That Drew Howls From Environmen,Washington Post,6-Sep, Joseph Robinette Biden Jr
The Health 202: More Than Half of House Democrats Now Support Medicare-for-al,Washington Post,6-Sep, Joseph Robinette Biden Jr
Opinion: How to Redesign the Debates for Our Current Political Climate,Washington Post,6-Sep,Pete Buttigieg
Opinion: Happy Hour Roundup,Washington Post,6-Sep,Pete Buttigieg
"Opinion: Welcome to the Third Tier, Kamala Harris",Washington Post,6-Sep,Pete Buttigieg
"Buttigieg’s First Television Ad Calls for ‘real Solutions,’ Not Polarization",Washington Post,6-Sep,Pete Buttigieg
The Energy 202: Joe Biden Defends Fundraiser That Drew Howls From Environmen,Washington Post,6-Sep,Pete Buttigieg
The Health 202: More Than Half of House Democrats Now Support Medicare-for-al,Washington Post,6-Sep,Pete Buttigieg
"‘This Is Your Job, Not Ours’: O’Rourke Campaign, Stung By Twitter Smear, Implor",Washington Post,6-Sep,Kamala D Harris
Opinion: Don’t Trust Candidates Who Ignore Nuclear Power,Washington Post,6-Sep,Kamala D Harris
